"","무인교통단속카메라관리번호","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소"
"8334","주정차-3","부산광역시","남구","구도","20번 22번 24번 27번 131번","용호로178번길",3,"부산광역시 남구 용호로178번길 3","부산광역시 남구 용호4동 486-3"
"8335","주정차-4","부산광역시","남구","구도","583번","황령대로492번길",3,"부산광역시 남구 황령대로492번길 8","부산광역시 남구 대연3동 16-2"
"8336","주정차-5","부산광역시","남구","구도","20번 22번 24번 27번 39번 131번 155번","용소로",3,"부산광역시 남구 용소로 36","부산광역시 남구 대연3동 502-2"
"8337","주정차-6","부산광역시","남구","구도","51번 68번 134번","석포로",3,"부산광역시 남구 석포로 125","부산광역시 남구 대연4동 1121-3"
"8338","주정차-7","부산광역시","남구","구도","20번 22번 24번 27번 131번 583번","분포로",3,"부산광역시 남구 분포로 113","부산광역시 남구 용호1동 176-8"
"8339","주정차-8","부산광역시","남구","구도","40번 42번 22번 24번 27번 39번 155번 51번 131번 83번 83-1번 10","수영로",3,"부산광역시 남구 수영로 305","부산광역시 남구 대연3동 73-15"
"8340","주정차-9","부산광역시","남구","구도","23번 26번","우암로",3,"부산광역시 남구 우암로 65","부산광역시 남구 감만1동 138-8"
"8341","주정차-10","부산광역시","남구","구도","51번 138번","유엔평화로",3,"부산광역시 남구 유엔평화로 11","부산광역시 남구 대연1동 1738-5"
"8342","주정차-11","부산광역시","남구","구도","22번 24번 27번 40번 41번 42번 101번 138번 168번 1001번 10번","수영로",3,"부산광역시 남구 수영로 27","부산광역시 남구 문현3동 361-32"
"8343","주정차-12","부산광역시","남구","구도","51번 68번 134번","석포로",3,"부산광역시 남구 석포로 52-2","부산광역시 남구 감만2동 38-15"
"8344","주정차-13","부산광역시","남구","구도","10번 138번","진남로",3,"부산광역시 남구 진남로 197-1","부산광역시 남구 문현1동 97-9"
"8345","주정차-14","부산광역시","남구","구도","20번 22번 24번 27번 39번 131번","용호로",3,"부산광역시 남구 용호로 144","부산광역시 남구 용호1동 395-68"
"8346","주정차-15","부산광역시","남구","구도","20번 22번 24번 27번 39번 131번 138번 155번 1006번","유엔로",3,"부산광역시 남구 조각공원로 19","부산광역시 남구 대연3동 567-1"
"8347","주정차-16","부산광역시","남구","구도","20번 22번 24번 27번 41번 42번 83번 83-1번 108번 1001번 1003번","수영로",3,"부산광역시 남구 수영로 219","부산광역시 남구 대연5동 1745-11"
"8348","주정차-17","부산광역시","남구","구도","20번 22번 24번 27번 131번 583번","용호로",3,"부산광역시 남구 용호로 48","부산광역시 남구 용호1동 198-6"
"8349","주정차-18","부산광역시","남구","구도","20번 22번 24번 27번 39번 131번","용호로232번길",3,"부산광역시 남구 용호로232번길 4","부산광역시 남구 용호1동 541-27"
"8350","주정차-19","부산광역시","남구","구도","10번 155번 583번","신선로",3,"부산광역시 남구 신선로 468","부산광역시 남구 대연3동 699-1"
"8351","gc-camera-007","경상북도","김천시","지방도","514번","아포대로",2,"경상북도 김천시 아포읍 아포대로 860","경상북도 김천시 아포읍 봉산리 230-1"
"8352","gc-camera-008","경상북도","김천시","지방도","514번","아포대로",1,"경상북도 김천시 농소면 신촌길 192-4","경상북도 김천시 농소면 신촌리 173-7"
